"KingdomName","YearUpTo","RedListCategory","NumSpp","NumAssessWithinKingdom","NumAssessWithinRLcat","PropSppKingdomNoDD","PropSppKingdomWithDD","PropSppAllTaxaByCat"
"FUNGI",2018,"Endangered",20,66,8925,0.32258064516129,0.303030303030303,0.00224089635854342
"FUNGI",2018,"Least Concern",3,66,46858,0.0483870967741935,0.0454545454545455,6.40232190874557e-05
"FUNGI",2018,"Data Deficient",4,66,14842,0.0645161290322581,0.0606060606060606,0.000269505457485514
"FUNGI",2018,"Extinct",0,66,867,0,0,0
"FUNGI",2018,"Extinct in the Wild",0,66,69,0,0,0
"FUNGI",2018,"Critically Endangered",10,66,5780,0.161290322580645,0.151515151515152,0.00173010380622837
"FUNGI",2018,"Lower Risk/conservation dependent",0,66,208,0,0,0
"FUNGI",2018,"Lower Risk/least concern",0,66,611,0,0,0
"FUNGI",2018,"Lower Risk/near threatened",0,66,798,0,0,0
"FUNGI",2018,"All Threatened",53,66,27512,0.854838709677419,0.803030303030303,0.00192643210235534
"FUNGI",2019,"All Categories",145,145,105775,NA,1,0.0013708343181281
"FUNGI",2019,"Near Threatened",26,145,5654,0.18705035971223,0.179310344827586,0.00459851432614079
"FUNGI",2019,"Vulnerable",64,145,12465,0.460431654676259,0.441379310344828,0.00513437625350983
"FUNGI",2019,"Endangered",30,145,9757,0.215827338129496,0.206896551724138,0.00307471558880804
"FUNGI",2019,"Least Concern",9,145,53462,0.0647482014388489,0.0620689655172414,0.00016834387041263
"FUNGI",2019,"Data Deficient",6,145,15783,0.0431654676258993,0.0413793103448276,0.000380155863904201
"FUNGI",2019,"Extinct",0,145,875,0,0,0
"FUNGI",2019,"Extinct in the Wild",0,145,73,0,0,0
"FUNGI",2019,"Critically Endangered",10,145,6129,0.0719424460431655,0.0689655172413793,0.00163158753467124
"FUNGI",2019,"Lower Risk/conservation dependent",0,145,205,0,0,0
"FUNGI",2019,"Lower Risk/least concern",0,145,587,0,0,0
"FUNGI",2019,"Lower Risk/near threatened",0,145,785,0,0,0
"FUNGI",2019,"All Threatened",104,145,29299,0.748201438848921,0.717241379310345,0.00354960920167924
"CHROMISTA",1996,"All Categories",0,0,2555,NA,1,0
"CHROMISTA",1996,"Near Threatened",0,0,0,0,0,0
"CHROMISTA",1996,"Vulnerable",0,0,944,0,0,0
"CHROMISTA",1996,"Endangered",0,0,253,0,0,0
"CHROMISTA",1996,"Least Concern",0,0,0,0,0,0
"CHROMISTA",1996,"Data Deficient",0,0,550,0,0,0
"CHROMISTA",1996,"Extinct",0,0,235,0,0,0
"CHROMISTA",1996,"Extinct in the Wild",0,0,7,0,0,0
"CHROMISTA",1996,"Critically Endangered",0,0,254,0,0,0
"CHROMISTA",1996,"Lower Risk/conservation dependent",0,0,24,0,0,0
"CHROMISTA",1996,"Lower Risk/least concern",0,0,71,0,0,0
